NASA Rotor 37 Axial-Flow Compressor Rotor - 70% span solution, M=1.47 
                     
            Surface Coordinates and Aerodynamic Data (Lower Surface)
      x                  y               p              M              Cp
 0.000000000E00   0.000000000E00  2.138999531E+05 3.926322982E-02 1.358227849E+00
 1.266125128E-05 -3.327983140E-04 2.187971562E+05 6.409305334E-02 1.405102491E+00
 7.025991363E-05 -7.053639274E-04 2.133067031E+05 1.695582569E-01 1.352549314E+00
 1.906119578E-04 -1.114757615E-03 2.049064531E+05 2.951772213E-01 1.272144437E+00
 3.944510827E-04 -1.552569447E-03 1.903063906E+05 4.381451011E-01 1.132396579E+00
 7.052677101E-04 -2.002144000E-03 1.690018906E+05 6.001046896E-01 9.284757376E-01
 1.146370661E-03 -2.435679082E-03 1.410723906E+05 7.877057791E-01 6.611421704E-01
 1.738421852E-03 -2.808964811E-03 1.084236719E+05 1.012780666E+00 3.486374915E-01
 2.491709311E-03 -3.060759977E-03 7.434631250E+04 1.267936945E+00 2.245826647E-02
 3.383266740E-03 -3.114108462E-03 5.286530859E+04 1.479585886E+00 -1.831520647E-01
 4.399722908E-03 -3.107350320E-03 5.002773828E+04 1.530154347E+00 -2.103125155E-01
 5.545288324E-03 -3.086680314E-03 5.457397656E+04 1.493883967E+00 -1.667971611E-01
 6.839989685E-03 -3.070872044E-03 5.999750781E+04 1.439833999E+00 -1.148845926E-01
 8.302848786E-03 -3.053134307E-03 6.447189844E+04 1.394722819E+00 -7.205694169E-02
 9.955095127E-03 -3.033289220E-03 6.803461719E+04 1.359183550E+00 -3.795556724E-02
 1.182050444E-02 -3.011362394E-03 7.096515625E+04 1.330780149E+00 -9.905243292E-03
 1.392560918E-02 -2.987137297E-03 7.328844531E+04 1.308900118E+00 1.233264804E-02
 1.629993692E-02 -2.960534999E-03 7.498749219E+04 1.293715596E+00 2.859546430E-02
 1.897638105E-02 -2.931343159E-03 7.619457812E+04 1.283614635E+00 4.014936090E-02
 2.199135721E-02 -2.899580402E-03 7.705670312E+04 1.277602673E+00 4.840138927E-02
 2.538514882E-02 -2.865527757E-03 7.767712500E+04 1.274395823E+00 5.433989689E-02
 2.920213714E-02 -2.829257865E-03 7.811970312E+04 1.272221327E+00 5.857613683E-02
 3.349105641E-02 -2.791479230E-03 7.842491406E+04 1.271104932E+00 6.149753183E-02
 3.830511123E-02 -2.752978122E-03 7.866822656E+04 1.270970106E+00 6.382645667E-02
 4.370218888E-02 -2.713238122E-03 7.884253125E+04 1.271305084E+00 6.549485028E-02
 4.974475130E-02 -2.672762843E-03 7.887035156E+04 1.272230744E+00 6.576114148E-02
 5.649985746E-02 -2.630311763E-03 7.872318750E+04 1.273964405E+00 6.435252726E-02
 6.403893232E-02 -2.582968445E-03 7.835145312E+04 1.277389169E+00 6.079438329E-02
 7.243712991E-02 -2.522345632E-03 7.766877344E+04 1.283987284E+00 5.425995961E-02
 8.177282661E-02 -2.434013877E-03 7.666029688E+04 1.293636441E+00 4.460709542E-02
 9.212645888E-02 -2.298957668E-03 7.529833594E+04 1.310467243E+00 3.157077730E-02
 1.035792157E-01 -2.094582887E-03 7.695714844E+04 1.292222857E+00 4.744847864E-02
